Time_s,V_Normal,V_Fault,I_Normal,I_Fault,SOC_Normal_pct,SOC_Fault_pct,Flag_Voltage,Flag_Current,Flag_SOC
0,4.1849320143413,4.1849320143413,0.589095159676422,0.589095159676422,100,100,0,0,0
1,4.18484876231311,4.18484876231311,0.589083440640922,0.589083440640922,99.9967273142187,99.9967273142187,0,0,0
2,4.18476673896764,4.18476673896764,0.589071894561886,0.589071894561886,99.9934546925822,99.9934546925822,0,0,0
3,4.18468591245942,4.18468591245942,0.589060516956563,0.589060516956563,99.9901821341547,99.9901821341547,0,0,0
4,4.18460591072832,4.18460591072832,0.589049255451621,0.589049255451621,99.9869096195864,99.9869096195864,0,0,0
5,4.18452689085412,4.18452689085412,0.589038132158519,0.589038132158519,99.9836371577045,99.9836371577045,0,0,0
6,4.18444895148973,4.18444895148973,0.589027160964208,0.589027160964208,99.9803647543504,99.9803647543504,0,0,0
7,4.18437210876047,4.18437210876047,0.58901634413858,0.58901634413858,99.9770924110478,99.9770924110478,0,0,0
8,4.18429634364114,4.18429634364114,0.58900567900354,0.58900567900354,99.9738201274686,99.9738201274686,0,0,0
9,4.18422162823199,4.18422162823199,0.588995161631755,0.588995161631755,99.9705479028038,99.9705479028038,0,0,0
10,4.18414793416972,4.18414793416972,0.588984788030648,0.588984788030648,99.9672757362026,99.9672757362026,0,0,0
11,4.18407523418487,4.18407523418487,0.588974554361609,0.588974554361609,99.9640036268539,99.9640036268539,0,0,0
12,4.18400350202093,4.18400350202093,0.588964456928622,0.588964456928622,99.9607315739832,99.9607315739832,0,0,0
13,4.18393271222458,4.18393271222458,0.58895449214873,0.58895449214873,99.9574595768423,99.9574595768423,0,0,0
14,4.18386284003759,4.18386284003759,0.588944656536823,0.588944656536823,99.9541876347037,99.9541876347037,0,0,0
15,4.18379386135345,4.18379386135345,0.588934946699529,0.588934946699529,99.9509157468596,99.9509157468596,0,0,0
16,4.18372575269644,4.18372575269644,0.588925359332269,0.588925359332269,99.9476439126202,99.9476439126202,0,0,0
17,4.18365849120572,4.18365849120572,0.588915891217022,0.588915891217022,99.9443721313142,99.9443721313142,0,0,0
18,4.18359205461996,4.18359205461996,0.588906539220152,0.588906539220152,99.9411004022878,99.9411004022878,0,0,0
19,4.18352642126188,4.18352642126188,0.588897300290243,0.588897300290243,99.9378287249042,99.9378287249042,0,0,0
20,4.1834615700231,4.1834615700231,0.588888171455955,0.588888171455955,99.9345570985435,99.9345570985435,0,0,0
21,4.18339748034918,4.18339748034918,0.588879149823927,0.588879149823927,99.9312855226021,99.9312855226021,0,0,0
22,4.18333413222513,4.18333413222513,0.588870232576736,0.588870232576736,99.9280139964922,99.9280139964922,0,0,0
23,4.18327150616129,4.18327150616129,0.588861416970902,0.588861416970902,99.9247425196415,99.9247425196415,0,0,0
24,4.18320958317953,4.18320958317953,0.588852700334957,0.588852700334957,99.9214710914927,99.9214710914927,0,0,0
25,4.18314834479988,4.18314834479988,0.588844080067551,0.588844080067551,99.9181997115031,99.9181997115031,0,0,0
26,4.18308777302747,4.18308777302747,0.588835553635623,0.588835553635623,99.9149283791445,99.9149283791445,0,0,0
27,4.18302785033979,4.18302785033979,0.588827118572605,0.588827118572605,99.9116570939022,99.9116570939022,0,0,0
28,4.18296855967435,4.18296855967435,0.588818772476682,0.588818772476682,99.9083858552753,99.9083858552753,0,0,0
29,4.18290988441661,4.18290988441661,0.588810513009095,0.588810513009095,99.9051146627761,99.9051146627761,0,0,0
30,4.18285180838823,4.18285180838823,0.588802337892488,0.588802337892488,99.9018435159295,99.9018435159295,0,0,0
31,4.18279431583567,4.18279431583567,0.5887942449093,0.5887942449093,99.8985724142731,99.8985724142731,0,0,0
32,4.182737391419,4.182737391419,0.588786231900197,0.588786231900197,99.8953013573566,99.8953013573566,0,0,0
33,4.18268102020111,4.18268102020111,0.588778296762544,0.588778296762544,99.8920303447414,99.8920303447414,0,0,0
34,4.18262518763715,4.18262518763715,0.588770437448923,0.588770437448923,99.8887593760006,99.8887593760006,0,0,0
35,4.18256987956419,4.18256987956419,0.58876265196568,0.58876265196568,99.8854884507186,99.8854884507186,0,0,0
36,4.18251508219129,4.18251508219129,0.588754938371522,0.588754938371522,99.8822175684903,99.8822175684903,0,0,0
37,4.18246078208968,4.18246078208968,0.588747294776138,0.588747294776138,99.8789467289219,99.8789467289219,0,0,0
38,4.18240696618331,4.18240696618331,0.588739719338867,0.588739719338867,99.8756759316293,99.8756759316293,0,0,0
39,4.18235362173957,4.18235362173957,0.588732210267395,0.588732210267395,99.872405176239,99.872405176239,0,0,0
40,4.18230073636031,4.18230073636031,0.588724765816486,0.588724765816486,99.8691344623871,99.8691344623871,0,0,0
41,4.18224829797306,4.18224829797306,0.588717384286748,0.588717384286748,99.8658637897192,99.8658637897192,0,0,0
42,4.18219629482246,4.18219629482246,0.588710064023432,0.588710064023432,99.8625931578903,99.8625931578903,0,0,0
43,4.18214471546202,4.18214471546202,0.588702803415262,0.588702803415262,99.8593225665646,99.8593225665646,0,0,0
44,4.18209354874594,4.18209354874594,0.588695600893292,0.588695600893292,99.856052015415,99.856052015415,0,0,0
45,4.18204278382128,4.18204278382128,0.588688454929797,0.588688454929797,99.852781504123,99.852781504123,0,0,0
46,4.18199241012023,4.18199241012023,0.588681364037194,0.588681364037194,99.8495110323785,99.8495110323785,0,0,0
47,4.18194241735267,4.18194241735267,0.588674326766987,0.588674326766987,99.8462405998796,99.8462405998796,0,0,0
48,4.1818927954989,4.1818927954989,0.588667341708741,0.588667341708741,99.8429702063322,99.8429702063322,0,0,0
49,4.18184353480247,4.18184353480247,0.588660407489087,0.588660407489087,99.8396998514501,99.8396998514501,0,0,0
50,4.18179462576338,4.18179462576338,0.588653522770746,0.588653522770746,99.8364295349545,99.8364295349545,0,0,0
51,4.18174605913125,4.18174605913125,0.588646686251584,0.588646686251584,99.8331592565741,99.8331592565741,0,0,0
52,4.18169782589885,4.18169782589885,0.58863989666369,0.58863989666369,99.8298890160446,99.8298890160446,0,0,0
53,4.18164991729569,4.18164991729569,0.588633152772479,0.588633152772479,99.8266188131087,99.8266188131087,0,0,0
54,4.18160232478179,4.18160232478179,0.588626453375815,0.588626453375815,99.8233486475157,99.8233486475157,0,0,0
55,4.18155504004165,4.18155504004165,0.588619797303161,0.588619797303161,99.8200785190218,99.8200785190218,0,0,0
56,4.18150805497839,4.18150805497839,0.58861318341475,0.58861318341475,99.8168084273894,99.8168084273894,0,0,0
57,4.18146136170795,4.18146136170795,0.588606610600781,0.588606610600781,99.8135383723873,99.8135383723873,0,0,0
58,4.18141495255354,4.18141495255354,0.588600077780623,0.588600077780623,99.8102683537902,99.8102683537902,0,0,0
59,4.18136882004024,4.18136882004024,0.58859358390206,0.58859358390206,99.8069983713789,99.8069983713789,0,0,0
60,4.1813229568896,4.1813229568896,0.588587127940541,0.588587127940541,99.8037284249398,99.8037284249398,0,0,0
61,4.1812773560146,4.1812773560146,0.588580708898452,0.588580708898452,99.800458514265,99.800458514265,0,0,0
62,4.18123201051453,4.18123201051453,0.58857432580441,0.58857432580441,99.7971886391522,99.7971886391522,0,0,0
63,4.18118691367016,4.18118691367016,0.588567977712579,0.588567977712579,99.7939187994043,99.7939187994043,0,0,0
64,4.18114205893895,4.18114205893895,0.588561663701991,0.588561663701991,99.7906489948292,99.7906489948292,0,0,0
65,4.18109743995041,4.18109743995041,0.588555382875903,0.588555382875903,99.7873792252402,99.7873792252402,0,0,0
66,4.18105305050161,4.18105305050161,0.588549134361151,0.588549134361151,99.7841094904554,99.7841094904554,0,0,0
67,4.18100888455275,4.18100888455275,0.588542917307538,0.588542917307538,99.7808397902975,99.7808397902975,0,0,0
68,4.18096493622288,4.18096493622288,0.58853673088723,0.58853673088723,99.7775701245941,99.7775701245941,0,0,0
